Codigo,Nombre del producto,Categoria,Presentacion,Cantidad en almacen,Trazabilidad,Fecha de caducidad,Lotes,Precio,Observaciones
8204,Miel Multiflora 35 g,Miel,35 g,12,09 24 92,04 27,8,25,Revisar
8204,Miel Multiflora 35 g,Miel,35 g,2,02 26 195,24 02 28,8,25,
8204,Miel Multiflora 35 g,Miel,35 g,10,12 25 197,12 12 27,8,25,
8204,Miel Multiflora 35 g,Miel,35 g,5,12 25 198,26 12 27,8,25,
8204,Miel Multiflora 35 g,Miel,35 g,5,04 26 202,07 04 28,8,25,
8204,Miel Multiflora 35 g,Miel,35 g,10,01 26 204,06 02 28,8,25,
8204,Miel Multiflora 35 g,Miel,35 g,16,09 25 92,25 09 27,8,25,Poleo
8204,Miel Multiflora 35 g,Miel,35 g,1,04 25  106,02 05 26,8,25,
8142,Miel Mezquite  35 g,Miel,35 g,16,11 25 171,27 11 27,2,25,
8142,Miel Mezquite  35 g,Miel,35 g,96,04 26 220,14 04 29,2,25,
8129,Miel Acahual 35 g,Miel,35 g,27,12 25 199,15 12 27,2,25,
8129,Miel Acahual 35 g,Miel,35 g,48,04 26 232,24 04 29,2,25,
8181,Miel Azahar 35 g,Miel,35 g,27,12 25 56,01 12 27,4,25,
8181,Miel Azahar 35 g,Miel,35 g,3,02 26 174,23 02 28,4,25,
8181,Miel Azahar 35 g,Miel,35 g,48,04 26 215,11 04 29,4,25,
8181,Miel Azahar 35 g,Miel,35 g,48,04 26 215,16 04 27,4,25,
8273,Miel Manglar 35 g,Miel,35 g,2,12 23 100,12 12 27,4,25,Revisar
8273,Miel Manglar 35 g,Miel,35 g,1,03 25 136,14 03 27,4,25,
8273,Miel Manglar 35 g,Miel,35 g,29,12 25 142,08 12 27,4,25,
8273,Miel Manglar 35 g,Miel,35 g,5,03 26 203,20 03 28,4,25,
8242,Miel Aguacate 35 g,Miel,35 g,1,12 25 67,05 12 27,3,25,
8242,Miel Aguacate 35 g,Miel,35 g,38,03 26 194,23 03 28,3,25,
8242,Miel Aguacate 35 g,Miel,35 g,48,05 26 71,04 05 29,3,25,
8243,Miel Eucalipto 35 g                ,Miel,35 g,2,03 26 134,19 03 28,2,25,
8243,Miel Eucalipto 35 g                ,Miel,35 g,16,12 25 165,15 12 27,2,25,
