Codigo,Nombre del producto,Categoria,Presentacion,Cantidad en almacen,Observaciones,Precio Producto al Publico
8204,Miel Multiflora 35 g,Miel,35 g,70,,25
8142,Miel Mezquite 35 g,Miel,35 g,44,,25
8129,Miel Acahual 35 g,Miel,35 g,72,,25
8181,Miel Azahar 35 g,Miel,35 g,62,,25
8273,Miel Manglar 35 g,Miel,35 g,70,,25
8242,Miel Aguacate 35 g,Miel,35 g,57,,25
8243,Miel Eucalipto 35 g,Miel,35 g,69,,25
8247,Miel Dzidzilché 35 g,Miel,35 g,56,,25
8274,Miel Chayotillo 35 g,Miel,35 g,38,,25
8044,Miel Multiflora 300 g,Miel,300 g,34,,85
8068,Miel Mezquite 300 g,Miel,300 g,34,,85
8082,Miel Acahual 300 g,Miel,300 g,25,,85
8174,Miel Azahar 300 g,Miel,300 g,16,,85
8099,Miel Manglar 300 g,Miel,300 g,29,,85
8235,Miel Aguacate 300 g,Miel,300 g,30,,85
8244,Miel Eucalipto 300 g,Miel,300 g,8,,85
8248,Miel Dzidzilché 300 g,Miel,300 g,31,,85
8275,Miel Chayotillo 300 g,Miel,300 g,0,Falta Kardex,85
8051,Miel Multiflora 600 g,Miel,600 g,65,,170
8075,Miel Mezquite 600 g,Miel,600 g,17,,170
8112,Miel Acahual 600 g,Miel,600 g,16,,170
8167,Miel Azahar 600 g,Miel,600 g,26,,170
8266,Miel Manglar 600 g,Miel,600 g,18,,170
8228,Miel Aguacate 600 g,Miel,600 g,28,,170
8245,Miel Eucalipto 600 g,Miel,600 g,18,,170
8249,Miel Dzidzilché 600 g,Miel,600 g,17,,170
8276,Miel Chayotillo 600 g,Miel,600 g,2,,170
8198,Miel Multiflora 1300 g,Miel,1300 g,13,,300
8136,Miel Mezquite 1300 g,Miel,1300 g,12,,300
8105,Miel Acahual 1300 g,Miel,1300 g,24,,300
8150,Miel Azahar 1300 g,Miel,1300 g,0,,300
8259,Miel Manglar 1300g,Miel,1300g,7,,300
8211,Miel Aguacate 1300 g,Miel,1300 g,26,,300
8246,Miel Eucalipto 1300 g,Miel,1300 g,10,,300
8250,Miel Dzidzilché 1300 g,Miel,1300 g,8,,300
8277,Miel Chayotillo 1300 g,Miel,1300 g,0,,300
8692,Miel en Panal 350 g,Miel,350 g,19,,130
8693,Miel Melipona 25 ml,Miel,25 ml,0,Falta Kardex,70
8690,Jalea Real 30 g,Miel,30 g,0,Falta Kardex,120
8794,Panal en Charola,Miel,100 g - 400 g,8,No tiene costo fijo,100
8732,Miel en Pet 1 L,Miel,1350 g,3,,0
8733,PET 1/2,Miel,650 g,2,,0
8310,Beenergético 35 g,Derivados Miel,35 g,115,,40
8037,Beenergético 150 g,Derivados Miel,150 g,41,,125
8303,Beenergético 300 g,Derivados Miel,300 g,13,,240
